Task,GUI Info for Filtering,GUI Info for Boosting,GUI Info for Query Expansion,GUI Info for Query Replacement,Number of Screens,Avg Best Ranks,Number of Identified Bugs,Number of identified buggy files,Hit@1,Hit@5,Hit@10,Number of hits@10,Avg Hit@10,Hit@15,Hit@20,Avg Hit@20,MRR,MAP,HIT@10 List
Filtering,Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,3,5.878787878787879,33,43,0.2375,0.3375,0.375,30,0.31666666666666665,0.375,0.375,0.33999999999999997,0.28908055292009277,0.257389558814117,"['18', '19', '129', '206', '256', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1130', '201', '1147', '1223', '1645', '1406', '45']"
Filtering,Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,4,5.638888888888889,36,46,0.25,0.375,0.4,32,0.3416666666666666,0.4125,0.4125,0.37,0.3075914685277826,0.2661627512075211,"['18', '19', '53', '129', '206', '256', '1202', '1205', '1207', '1215', '1224', '1399', '76', '160', '162', '192', '200', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1130', '201', '1147', '1223', '1645', '1406']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,2,4.45945945945946,37,38,0.2875,0.4,0.4375,35,0.375,0.4375,0.4375,0.4,0.344920926704015,0.28920401493930903,"['8', '18', '19', '53', '117', '128', '130', '135', '206', '256', '1202', '1205', '1224', '1299', '1399', '1481', '162', '192', '199', '200', '1228', '1563', '1568', '1428', '159', '1089', '1130', '1402', '201', '1096', '1146', '1151', '1223', '1406', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,3,4.62,50,62,0.35,0.525,0.5875,47,0.4875,0.5875,0.5875,0.5275,0.43718571165025144,0.39021693976649796,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '45', '1150']"
Filtering,GUI_State_and_Interacted_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,4,4.615384615384615,52,65,0.325,0.55,0.6,48,0.4916666666666667,0.6125,0.6125,0.54,0.43103843822475224,0.3825784709044909,"['8', '18', '19', '53', '117', '128', '129', '130', '135', '206', '256', '1202', '1205', '1207', '1215', '1224', '1299', '1399', '1430', '1481', '76', '160', '162', '192', '199', '200', '1228', '1563', '1568', '11', '227', '1213', '1428', '159', '193', '275', '1089', '1130', '1402', '201', '1096', '1146', '1147', '1151', '1223', '1645', '1406', '1150']"
Filtering,All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,2,12.5125,80,129,0.1625,0.65,0.725,58,0.5125000000000001,0.7625,0.8,0.6199999999999999,0.35742096347925995,0.31098463953626393,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,3,12.55,80,130,0.1875,0.675,0.725,58,0.5291666666666667,0.7375,0.7875,0.6225,0.38560518900388924,0.336546108818638,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,4,12.5,80,130,0.225,0.6625,0.725,58,0.5375,0.7375,0.7875,0.6275,0.3990799930807259,0.3413896984102219,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1228', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,2,12.5375,80,129,0.1625,0.65,0.725,58,0.5125000000000001,0.7625,0.8,0.6199999999999999,0.3573886379707282,0.3109481314148539,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
Filtering,GUI_State_and_All_GUI_Component_IDs,NO,Interacted_GUI_Component_IDs,None,3,12.575,80,130,0.1875,0.675,0.725,58,0.5291666666666667,0.7375,0.7875,0.6225,0.3855570803295252,0.3364957800533391,"['8', '18', '19', '53', '117', '128', '130', '135', '191', '209', '256', '1202', '1205', '1207', '1214', '1215', '1224', '1299', '1399', '1430', '1441', '1481', '76', '158', '160', '192', '199', '200', '248', '1198', '1389', '1425', '1446', '1563', '1568', '11', '55', '56', '227', '1213', '1222', '1428', '159', '193', '275', '1089', '1130', '1402', '71', '201', '1641', '1146', '1147', '1151', '1223', '1645', '1640', '1150']"
